jira_client_name,jira_deploiement_field,is_conflict
ABB Finland,Onsite,no
ABB Italy,Onsite,no
ACC - Team,Online,no
Accenture Business Agility,Online,no
Achmea,Online,no
ACL,Online,no
ACT TeamPlus,"Mutualisée (Team+, Team, Partners)",no
AdaptivityGroup,Online,no
Adi – Askea Design Ingenierie,Online,no
ADI NextGen,Online,no
Adragos Pharma,Online,no
AFCODEV,"Mutualisée (Team+, Team, Partners)",no
AFITEXINOV via POP,"Mutualisée (Team+, Team, Partners)",no
AGC Glass Europe SA,Online,no
Agence du numérique de la sécurité civile,Online,no
Agile Agilist,"Mutualisée (Team+, Team, Partners)",no
Agilest,Online,no
Aik Lee Solutions,"Mutualisée (Team+, Team, Partners)",no
Air France Industries,Online,no
Air Liquide,Online,no
Airbus Aerostructures (ex Premium Aerotech),Onsite,no
Airbus Defense & Space - CORP,Onsite,no
Airbus Defense & Space - NEO FR,Onsite,no
Airbus Defense & Space - NEO GE,Onsite,no
Airbus Defense & Space - NEO UK,Onsite,no
Airbus Defense & Space - Partner,Onsite,no
Airbus OneWeb Satellites,Onsite,no
Airbus Operation SAS - Cloud POC,Online,no
Airbus Opérations 436,Online,no
Airbus Opérations 45,Online,no
Airbus Operations SAS,Onsite,no
Airnov - Team,"Mutualisée (Team+, Team, Partners)",no
AISG,"Mutualisée (Team+, Team, Partners)",no
AITO LM CONSULTING,"Mutualisée (Team+, Team, Partners)",no
Aledia,Online,no
Alix Partners - Partner Platform,"Mutualisée (Team+, Team, Partners)",no
Alkegen,Online,no
Allianz Trade ( ex Euler Hermes),Online,no
Alpine Racing,Online,no
Alten,Onsite,no
Alvotech,Online,no
Amicus Therapeutics,Online,no
Amneal Pharmaceuticals - India,"Mutualisée (Team+, Team, Partners)",no
AMPLITUDE via POP,"Mutualisée (Team+, Team, Partners)",no
ANTAI - Enterprise OnSite,Onsite,no
ANTAI - Team via capgemini,"Mutualisée (Team+, Team, Partners)",no
APEM POC,Online,no
Aptiphar,"Mutualisée (Team+, Team, Partners)",no
Aravis Performance,"Mutualisée (Team+, Team, Partners)",no
Argo Consulting USA,"Mutualisée (Team+, Team, Partners)",no
Arquitectura Claridad Y Conocimiento,Online,no
Astrea Pharma,Online,no
ATELIERS PERRAULT via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",no
Atlantic LNG,Online,no
ATR Aircraft Cloud,Online,no
Atryon,"Mutualisée (Team+, Team, Partners)",no
Aubert & Duval,Online,no
Aviagroup,"Mutualisée (Team+, Team, Partners)",no
Axens,Online,no
AXIMA via POP,"Mutualisée (Team+, Team, Partners)",no
Axlperf - partner,"Mutualisée (Team+, Team, Partners)",no
AZ Lean Consulting,"Mutualisée (Team+, Team, Partners)",no
B Braun Medical,"Mutualisée (Team+, Team, Partners)",no
B2WISE TEAM,"Mutualisée (Team+, Team, Partners)",no
Ballance Agri-Nutrients Ltd,"Mutualisée (Team+, Team, Partners)",no
Baxter Pharma Singapore,Online,no
BearingPoint,"Mutualisée (Team+, Team, Partners)",no
BearingPoint on Partners,"Mutualisée (Team+, Team, Partners)",no
BearingPoint - Team,"Mutualisée (Team+, Team, Partners)",no
Beckman Coulter Diagnostics,Online,no
Beckman Coulter Informatics,"Mutualisée (Team+, Team, Partners)",no
Beckman Coulter Life Sciences,Online,no
Beckman Life Sciences Team,"Mutualisée (Team+, Team, Partners)",no
BelEnergia via Considi,"Mutualisée (Team+, Team, Partners)",no
Beologic NV,"Mutualisée (Team+, Team, Partners)",no
Berkenhoff,"Mutualisée (Team+, Team, Partners)",no
Bien-Air Surgery SA,"Mutualisée (Team+, Team, Partners)",no
BIJOU via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",no
Bio-Rad,Online,no
bioMérieux,Online,no
BISQI - Partners,"Mutualisée (Team+, Team, Partners)",no
BLEU,Onsite,no
BLEU CLOUD,Online,no
Boeing,Online,no
Bollore Logistics -OnLine dédié,Online,no
Boralex,"Mutualisée (Team+, Team, Partners)",no
Bouygues Construction,"Mutualisée (Team+, Team, Partners)",no
BPCE-IT,Onsite,no
Brigitte Evertz,"Mutualisée (Team+, Team, Partners)",no
Bruker Biospin,"Mutualisée (Team+, Team, Partners)",no
BT Blue via POP,"Mutualisée (Team+, Team, Partners)",no
Bystronic Laser AG,"Mutualisée (Team+, Team, Partners)",no
C.MENDES - SAINT LAURENT,"Mutualisée (Team+, Team, Partners)",no
CA des Savoie Cloud,Online,no
CA-GIP (Ex SILCA),Onsite,no
CA Pacifica Dommages,Onsite,no
Cabot Corporation,"Mutualisée (Team+, Team, Partners)",no
Campbell's Soup,Online,no
Campbells-Test,Online,no
Capacités,"Mutualisée (Team+, Team, Partners)",no
CAPGEMINI ABL,Online,no
Capgemini DEV,Online,no
Capgemini Invent - plateforme online dédiée,Online,no
Capgemini TeamPlus,"Mutualisée (Team+, Team, Partners)",no
Cartier Horlogerie,"Mutualisée (Team+, Team, Partners)",no
Cartier Joaillerie International,Online,no
CATAPULSE TEAM,"Mutualisée (Team+, Team, Partners)",no
CEA,Onsite,no
Cebi Motors S.p.A.,"Mutualisée (Team+, Team, Partners)",no
CEVA,Online,no
CEVA Logistics TeamPlus,"Mutualisée (Team+, Team, Partners)",no
Challans Gois via Cubik Partners,"Mutualisée (Team+, Team, Partners)",no
Chalmers University of Technology,"Mutualisée (Team+, Team, Partners)",no
Chantiers de l'Atlantique,Onsite,no
Chester consulting,"Mutualisée (Team+, Team, Partners)",no
CIMPA Germany,"Mutualisée (Team+, Team, Partners)",no
CLUB CAR,"Mutualisée (Team+, Team, Partners)",no
CNP Assurance,Onsite,no
CODECHAMP via LA GROW BOX,"Mutualisée (Team+, Team, Partners)",no
Coeff - Team Partner,"Mutualisée (Team+, Team, Partners)",no
Coleg Cambria,"Mutualisée (Team+, Team, Partners)",no
Considi,"Mutualisée (Team+, Team, Partners)",no
