source_client_name,source_setup,jira_client_name,jira_deploiement_field,match_type
Danaher,Mutualised NA  (deprecated for new customers),Danaher,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Argo Consulting USA,Mutualised NA  (deprecated for new customers),Argo Consulting USA,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Beckman Coulter Informatics,Mutualised NA  (deprecated for new customers),Beckman Coulter Informatics,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Nictiz NextGen,Online NextGen - Enterprise,Nictiz NextGen,Online,fallback_source_name
Eaton NextGen,Online NextGen - Enterprise,Eaton NextGen,Online,fallback_source_name
ADI NextGen,Online NextGen - Enterprise,ADI NextGen,Online,fallback_source_name
STRADAL NextGen,Online NextGen - Enterprise,STRADAL NextGen,Online,fallback_source_name
Campbells-Test,Online NextGen - Trial,Campbells-Test,Online,fallback_source_name
hartmann-ng-demo2,Online NextGen - Trial,hartmann-ng-demo2,Online,fallback_source_name
stradal-demofactory-nextgen,Online NextGen - Trial,stradal-demofactory-nextgen,Online,fallback_source_name
girbaudemo,Online NextGen - Trial,girbaudemo,Online,fallback_source_name
girbaunew,Online NextGen - Trial,girbaunew,Online,fallback_source_name
testforchris,Online NextGen - Trial,testforchris,Online,fallback_source_name
MBDA,Online NextGen - Trial,MBDA,Online,exact
sscdemo,Online NextGen - Trial,sscdemo,Online,fallback_source_name
nimrod,Online NextGen - Trial,nimrod,Online,fallback_source_name
eiffage construction,Online NextGen - Trial,eiffage construction,Online,fallback_source_name
getelec260126,Online NextGen - Trial,getelec260126,Online,fallback_source_name
mars-demo,Online NextGen - Trial,mars-demo,Online,fallback_source_name
iobeyaconsultants,Online NextGen - Trial,iobeyaconsultants,Online,fallback_source_name
obeya-association,Online NextGen - Trial,OBEYA ASSOCIATION,Online,exact
Considi,Mutualised PARTNERS,Considi,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BearingPoint,Mutualised PARTNERS,BearingPoint,"Mutualisée (Team+, Team, Partners)",fallback_source_name
IMMA,Mutualised PARTNERS,IMMA,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Lecko,Mutualised PARTNERS,Lecko,"Mutualisée (Team+, Team, Partners)",fallback_source_name
IUT NANTES,Mutualised PARTNERS,IUT NANTES,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Factories of Future,Mutualised PARTNERS,Factories of Future,"Mutualisée (Team+, Team, Partners)",exact
