source_client_name,source_setup
Danaher,Mutualised NA  (deprecated for new customers)
Argo Consulting USA,Mutualised NA  (deprecated for new customers)
Beckman Coulter Informatics,Mutualised NA  (deprecated for new customers)
Nictiz NextGen,Online NextGen - Enterprise
Eaton NextGen,Online NextGen - Enterprise
ADI NextGen,Online NextGen - Enterprise
STRADAL NextGen,Online NextGen - Enterprise
Campbells-Test,Online NextGen - Trial
hartmann-ng-demo2,Online NextGen - Trial
stradal-demofactory-nextgen,Online NextGen - Trial
girbaudemo,Online NextGen - Trial
girbaunew,Online NextGen - Trial
testforchris,Online NextGen - Trial
sscdemo,Online NextGen - Trial
nimrod,Online NextGen - Trial
eiffage construction,Online NextGen - Trial
getelec260126,Online NextGen - Trial
mars-demo,Online NextGen - Trial
iobeyaconsultants,Online NextGen - Trial
Considi,Mutualised PARTNERS
BearingPoint,Mutualised PARTNERS
IMMA,Mutualised PARTNERS
Lecko,Mutualised PARTNERS
IUT NANTES,Mutualised PARTNERS
Greg Woods,Mutualised PARTNERS
Partners,Mutualised PARTNERS
BISQI - Partners,Mutualised PARTNERS
Atryon,Mutualised PARTNERS
DIANEGO ON PARTNERS,Mutualised PARTNERS
Project 7 on Partners,Mutualised PARTNERS
BearingPoint on Partners,Mutualised PARTNERS
ICAM Strasbourg on Partners,Mutualised PARTNERS
Musubi Consulting,Mutualised PARTNERS
LeanCoaching,Mutualised PARTNERS
Ifohra,Mutualised PARTNERS
Macom GmbH,Mutualised PARTNERS
Aik Lee Solutions,Mutualised PARTNERS
Scaled Agile Inc.,Mutualised PARTNERS
Kettering University,Mutualised PARTNERS
Ominlytics,Mutualised PARTNERS
AITO LM CONSULTING,Mutualised PARTNERS
RLG-PartnerPlatform,Mutualised PARTNERS
TBMConsulting,Mutualised PARTNERS
McEwan Consulting,Mutualised PARTNERS
Evolve Partners,Mutualised PARTNERS
UPD,Mutualised PARTNERS
SmartLeanMFG,Mutualised PARTNERS
CONSULT ING,Mutualised PARTNERS
Agile Agilist,Mutualised PARTNERS
XE PARTNERS,Mutualised PARTNERS
Obeya Builder,Mutualised PARTNERS
Global Lean Summit,Mutualised PARTNERS
Lean Sigma Projects LTD,Mutualised PARTNERS
IBConsultants,Mutualised PARTNERS
CIMPA Germany,Mutualised PARTNERS
KPC on Partners,Mutualised PARTNERS
Alix Partners - Partner Platform,Mutualised PARTNERS
Sherbourne Recycling Ltd via EMS Cognito,Mutualised TEAMPLUS
LBL Brenta via POP,Mutualised TEAMPLUS
Smarter Start - Cloud,Mutualised TEAMPLUS
VEDIF (Veolia Eau IdF),Mutualised TEAMPLUS
Groupe HDN (Pascal Clame),Mutualised TEAMPLUS
Ximeng Liu,Mutualised TEAMPLUS
Thales DIS (ex-Gemalto) - USA,Mutualised TEAMPLUS
Norman Souprayenmestry,Mutualised TEAMPLUS
Fluidra TeamPlus,Mutualised TEAMPLUS
RAPIDO Team+ via CUBIK,Mutualised TEAMPLUS
Lesaffre TeamPlus,Mutualised TEAMPLUS
CYCLELIFE via CUBIK PARTNERS,Mutualised TEAMPLUS
Thales Australia TeamPlus,Mutualised TEAMPLUS
ELECTROPOLI ISIGNY via CUBIK PARTNERS,Mutualised TEAMPLUS
ACT TeamPlus,Mutualised TEAMPLUS
Kwik Trip Inc.,Mutualised TEAMPLUS
GCA Supply 4 industry,Mutualised TEAMPLUS
Subsea 7 TeamPlus,Mutualised TEAMPLUS
Edrington Distillers Ltd via EMS Cognito,Mutualised TEAMPLUS
STRAPHARM via CUBIK PARTNERS,Mutualised TEAMPLUS
O2 via CUBIK PARTNERS,Mutualised TEAMPLUS
Evidens de beauté Team+,Mutualised TEAMPLUS
VIASAT Connect,Mutualised TEAMPLUS
CEVA Logistics TeamPlus,Mutualised TEAMPLUS
The North British Distillery Company Ltd via EMS Cognito,Mutualised TEAMPLUS
Sansera India,Mutualised TEAMPLUS
Kroger TeamPlus,Mutualised TEAMPLUS
BIJOU via CUBIK PARTNERS,Mutualised TEAMPLUS
OFFICINA STELLARE via CONSIDI,Mutualised TEAMPLUS
SPINEART via CUBIK PARTNERS,Mutualised TEAMPLUS
Spie Batignolles Team +,Mutualised TEAMPLUS
Movella Technologies (ex Xsens),Mutualised TEAMPLUS
Lookupspace,Mutualised TEAMPLUS
Terega - TeamPlus,Mutualised TEAMPLUS
GXO Logistics TeamPlus,Mutualised TEAMPLUS
Capgemini TeamPlus,Mutualised TEAMPLUS
Amneal Pharmaceuticals - India,Mutualised TEAMPLUS
CODECHAMP via LA GROW BOX,Mutualised TEAMPLUS
Kaizen Reliability Ltd,Mutualised TEAMPLUS
Enedis,Mutualised TEAM
Pop Concept,Mutualised TEAM
Kxiop,Mutualised TEAM
Keolis Lyon,Mutualised TEAM
Pella Team,Mutualised TEAM
University of Central Arkansas,Mutualised TEAM
Longchamp,Mutualised TEAM
VCF Normandie Centre,Mutualised TEAM
ESCP Europe,Mutualised TEAM
LNA Santé,Mutualised TEAM
Michigan Lean Consortium,Mutualised TEAM
TABARI CROISSANCE,Mutualised TEAM
RIT,Mutualised TEAM
SKF - Sweden,Mutualised TEAM
makesense,Mutualised TEAM
RATP - Bus,Mutualised TEAM
Capacités,Mutualised TEAM
Publicis Sapient,Mutualised TEAM
Digital Tango,Mutualised TEAM
BearingPoint - Team,Mutualised TEAM
TMAC,Mutualised TEAM
Serac Group,Mutualised TEAM
Cubik Team,Mutualised TEAM
